ID_compra,fecha,horario,categoria,precio_unitario,cantidad,envio,metodo_pago
68,2023-01-10,19:17,Alimentos y bebidas,97.9,4,0.0,Transferencia
76,2023-01-11,14:05,Belleza e higiene,231.9,4,46.38,Tarjeta de Débito
77,2023-01-11,16:05,Belleza e higiene,197.9,4,55.41,Tarjeta de Crédito
78,2023-01-11,15:01,Casa y aseo,160.9,5,80.45,Transferencia
74,2023-01-11,15:55,Papelería y oficina,38.9,1,3.11,Transferencia
79,2023-01-11,00:46,Casa y aseo,52.9,4,16.93,Transferencia
73,2023-01-11,22:39,Papelería y oficina,33.9,3,10.17,Transferencia
72,2023-01-11,14:53,Belleza e higiene,179.9,5,53.97,Tarjeta de Crédito
75,2023-01-11,23:13,Casa y aseo,148.9,1,8.93,Tarjeta de Crédito
71,2023-01-11,23:23,Belleza e higiene,114.9,2,2.3,Transferencia
88,2023-01-12,17:37,Belleza e higiene,97.9,1,9.79,Tarjeta de Crédito
82,2023-01-12,15:30,Herramientas y construcción,102.9,5,30.87,Transferencia
83,2023-01-12,23:31,Papelería y oficina,30.9,2,6.18,Transferencia
89,2023-01-12,18:05,Casa y aseo,17.9,3,0.54,Tarjeta de Débito
85,2023-01-12,19:23,Alimentos y bebidas,62.9,1,3.14,Tarjeta de Crédito
90,2023-01-12,18:40,Casa y aseo,168.9,5,0.0,Transferencia
80,2023-01-12,14:53,Belleza e higiene,202.9,2,28.41,Transferencia
87,2023-01-12,00:43,Alimentos y bebidas,75.9,1,0.0,Paypal
81,2023-01-12,17:01,Alimentos y bebidas,68.9,4,0.0,Transferencia
84,2023-01-12,23:50,Alimentos y bebidas,78.9,2,7.89,Transferencia
86,2023-01-12,00:45,Belleza e higiene,164.9,1,0.0,Paypal
97,2023-01-13,23:53,Alimentos y bebidas,54.9,3,4.94,Transferencia
93,2023-01-13,21:25,Electrónicos,5873.9,1,234.96,Tarjeta de Crédito
99,2023-01-13,00:48,Belleza e higiene,214.9,1,6.45,Transferencia
94,2023-01-13,18:24,Belleza e higiene,114.9,1,3.45,Tarjeta de Crédito
98,2023-01-13,23:21,Herramientas y construcción,87.9,4,17.58,Tarjeta de Crédito
96,2023-01-13,22:26,Alimentos y bebidas,48.9,3,14.67,Tarjeta de Crédito
92,2023-01-13,21:28,Herramientas y construcción,52.9,2,9.52,Tarjeta de Débito
91,2023-01-13,14:08,Casa y aseo,150.9,1,7.55,Transferencia
95,2023-01-13,21:11,Belleza e higiene,240.9,3,36.14,Tarjeta de Crédito
106,2023-01-14,19:05,Alimentos y bebidas,92.0,4,25.76,Transferencia
107,2023-01-14,16:21,Papelería y oficina,49.9,4,5.99,Tarjeta de Crédito
108,2023-01-14,19:30,Libros,87.9,5,39.56,Tarjeta de Crédito
102,2023-01-14,23:21,Papelería y oficina,45.9,5,13.77,Tarjeta de Crédito
101,2023-01-14,21:49,Belleza e higiene,242.9,4,9.72,Transferencia
105,2023-01-14,22:58,Belleza e higiene,235.9,3,42.46,Tarjeta de Débito
111,2023-01-14,18:38,Alimentos y bebidas,34.9,2,2.79,Tarjeta de Crédito
109,2023-01-14,18:46,Belleza e higiene,53.9,2,5.39,Tarjeta de Débito
103,2023-01-14,21:56,Libros,108.9,4,17.42,Tarjeta de Crédito
110,2023-01-14,22:04,Electrónicos,6853.9,4,822.47,Tarjeta de Débito
104,2023-01-14,15:35,Alimentos y bebidas,99.9,3,11.99,Tarjeta de Crédito
100,2023-01-14,17:59,Electrodomésticos,2251.9,1,112.6,Transferencia
120,2023-01-15,00:53,Electrodomésticos,1684.9,3,252.74,Tarjeta de Crédito
114,2023-01-15,23:44,Electrónicos,7316.9,4,878.03,Transferencia
116,2023-01-15,21:03,Alimentos y bebidas,7.9,4,0.0,Tarjeta de Crédito
118,2023-01-15,14:22,Papelería y oficina,18.9,3,2.27,Tarjeta de Crédito
119,2023-01-15,22:49,Papelería y oficina,2.9,4,0.0,Transferencia
121,2023-01-15,16:59,Electrónicos,6422.9,2,0.0,Tarjeta de Crédito
117,2023-01-15,21:39,Casa y aseo,117.9,5,0.0,Tarjeta de Crédito
113,2023-01-15,21:46,Casa y aseo,40.9,4,0.0,Tarjeta de Crédito
115,2023-01-15,15:03,Belleza e higiene,63.9,5,28.76,Transferencia
112,2023-01-15,17:28,Belleza e higiene,138.9,5,34.72,Transferencia
131,2023-01-17,16:40,Casa y aseo,84.9,5,38.2,Paypal
127,2023-01-17,23:55,Alimentos y bebidas,65.9,1,1.98,Tarjeta de Crédito
126,2023-01-17,23:25,Herramientas y construcción,126.9,1,8.88,Tarjeta de Crédito
128,2023-01-17,23:29,Alimentos y bebidas,60.9,4,9.74,Tarjeta de Crédito
125,2023-01-17,15:15,Papelería y oficina,7.9,4,2.84,Tarjeta de Crédito
122,2023-01-17,21:33,Casa y aseo,98.9,4,35.6,Tarjeta de Crédito
129,2023-01-17,23:59,Alimentos y bebidas,61.0,3,16.47,Transferencia
124,2023-01-17,20:35,Belleza e higiene,204.9,1,0.0,Tarjeta de Crédito
123,2023-01-17,00:04,Casa y aseo,66.9,3,8.03,Tarjeta de Crédito
130,2023-01-17,22:32,Electrónicos,7581.9,2,1213.1,Transferencia
133,2023-01-18,18:31,Casa y aseo,198.9,3,0.0,Transferencia
140,2023-01-18,22:09,Belleza e higiene,20.9,1,1.25,Tarjeta de Débito
137,2023-01-18,22:53,Papelería y oficina,35.9,2,3.59,Transferencia
132,2023-01-18,15:54,Electrónicos,7708.9,1,385.44,Tarjeta de Crédito
134,2023-01-18,23:54,Belleza e higiene,199.9,4,31.98,Tarjeta de Crédito
139,2023-01-18,00:40,Casa y aseo,174.9,4,34.98,Tarjeta de Débito
135,2023-01-18,18:30,Alimentos y bebidas,23.9,4,3.82,Transferencia
136,2023-01-18,17:36,Papelería y oficina,36.9,5,1.84,Transferencia
138,2023-01-18,17:37,Alimentos y bebidas,73.9,2,0.0,Transferencia
143,2023-01-19,18:39,Papelería y oficina,43.9,2,7.02,Transferencia
147,2023-01-19,17:23,Alimentos y bebidas,61.9,5,12.38,Paypal
144,2023-01-19,17:36,Electrodomésticos,340.9,4,136.36,Transferencia
145,2023-01-19,22:37,Casa y aseo,187.9,4,30.06,Transferencia
149,2023-01-19,23:02,Electrónicos,7640.9,2,1069.73,Transferencia
141,2023-01-19,22:02,Alimentos y bebidas,24.9,1,1.49,Tarjeta de Débito
142,2023-01-19,18:47,Alimentos y bebidas,52.9,5,26.45,Tarjeta de Débito
146,2023-01-19,22:29,Electrónicos,7581.9,1,75.82,Tarjeta de Crédito
148,2023-01-19,18:02,Belleza e higiene,239.9,4,0.0,Transferencia
157,2023-01-20,23:27,Alimentos y bebidas,26.0,1,1.82,Tarjeta de Débito
156,2023-01-20,20:58,Belleza e higiene,62.9,4,25.16,Paypal
155,2023-01-20,18:11,Casa y aseo,76.9,5,30.76,Tarjeta de Débito
150,2023-01-20,21:42,Alimentos y bebidas,11.9,2,0.0,Tarjeta de Débito
158,2023-01-20,18:35,Electrónicos,4531.0,4,906.2,Transferencia
151,2023-01-20,18:53,Casa y aseo,43.9,3,9.22,Tarjeta de Crédito
153,2023-01-20,14:35,Alimentos y bebidas,60.9,4,14.62,Paypal
154,2023-01-20,00:39,Belleza e higiene,78.9,2,1.58,Tarjeta de Crédito
152,2023-01-20,21:21,Alimentos y bebidas,18.0,3,1.08,Transferencia
167,2023-01-21,21:31,Electrodomésticos,3504.9,3,736.03,Paypal
166,2023-01-21,18:28,Alimentos y bebidas,25.9,3,0.0,Tarjeta de Crédito
162,2023-01-21,21:40,Alimentos y bebidas,7.9,3,0.0,Transferencia
168,2023-01-21,18:02,Casa y aseo,163.9,1,0.0,Transferencia
165,2023-01-21,16:55,Libros,149.9,2,8.99,Transferencia
159,2023-01-21,22:15,Belleza e higiene,171.9,5,34.38,Tarjeta de Crédito
164,2023-01-21,22:53,Electrodomésticos,3617.0,2,0.0,Paypal
160,2023-01-21,21:28,Libros,59.9,1,2.4,Tarjeta de Crédito
163,2023-01-21,18:34,Electrodomésticos,3373.0,5,843.25,Tarjeta de Débito
161,2023-01-21,00:52,Alimentos y bebidas,90.9,4,3.64,Transferencia
174,2023-01-22,17:08,Alimentos y bebidas,22.9,2,0.0,Paypal
173,2023-01-22,21:38,Electrodomésticos,2822.9,4,677.5,Tarjeta de Crédito
169,2023-01-22,23:11,Libros,101.0,2,2.02,Tarjeta de Crédito
170,2023-01-22,19:13,Casa y aseo,88.0,1,0.0,Paypal
175,2023-01-22,19:36,Casa y aseo,12.9,2,2.32,Tarjeta de Crédito
171,2023-01-22,17:15,Belleza e higiene,134.9,1,0.0,Tarjeta de Débito
172,2023-01-22,17:49,Alimentos y bebidas,14.9,4,4.17,Transferencia
176,2023-01-22,18:04,Casa y aseo,123.9,2,0.0,Tarjeta de Crédito
181,2023-01-24,23:53,Electrodomésticos,3063.9,2,490.22,Paypal
177,2023-01-24,18:48,Libros,29.9,1,1.2,Transferencia
183,2023-01-24,18:34,Alimentos y bebidas,39.9,4,7.98,Transferencia
180,2023-01-24,14:36,Electrónicos,5682.9,1,284.14,Tarjeta de Crédito
182,2023-01-24,18:47,Casa y aseo,72.0,3,12.96,Tarjeta de Crédito
178,2023-01-24,22:32,Alimentos y bebidas,40.9,5,8.18,Transferencia
185,2023-01-24,21:39,Papelería y oficina,4.9,2,0.69,Paypal
184,2023-01-24,17:00,Alimentos y bebidas,27.9,1,0.0,Tarjeta de Crédito
179,2023-01-24,17:28,Casa y aseo,182.9,2,0.0,Tarjeta de Crédito
186,2023-01-24,17:22,Casa y aseo,23.9,5,3.58,Tarjeta de Crédito
188,2023-01-25,00:30,Belleza e higiene,59.9,1,1.8,Transferencia
196,2023-01-25,15:13,Belleza e higiene,62.9,2,6.29,Tarjeta de Débito
194,2023-01-25,23:53,Belleza e higiene,161.9,4,45.33,Transferencia
195,2023-01-25,00:42,Electrónicos,6088.9,2,0.0,Tarjeta de Crédito
187,2023-01-25,21:37,Electrónicos,7225.0,3,2167.5,Transferencia
192,2023-01-25,18:27,Alimentos y bebidas,60.9,5,15.23,Transferencia
189,2023-01-25,16:51,Alimentos y bebidas,15.9,2,0.64,Paypal
191,2023-01-25,23:12,Electrodomésticos,3474.9,5,0.0,Tarjeta de Crédito
197,2023-01-25,23:13,Casa y aseo,96.9,5,33.92,Tarjeta de Crédito
190,2023-01-25,22:04,Alimentos y bebidas,61.9,4,17.33,Transferencia
198,2023-01-25,00:18,Electrodomésticos,2348.9,1,93.96,Transferencia
193,2023-01-25,15:38,Alimentos y bebidas,86.9,4,20.86,Transferencia
199,2023-01-26,18:00,Papelería y oficina,2.9,5,1.45,Tarjeta de Crédito
202,2023-01-26,21:44,Electrónicos,7497.9,3,0.0,Transferencia
205,2023-01-26,16:26,Alimentos y bebidas,23.9,1,1.67,Transferencia
207,2023-01-26,19:25,Belleza e higiene,201.9,1,18.17,Tarjeta de Crédito
200,2023-01-26,15:21,Belleza e higiene,40.9,3,3.68,Tarjeta de Crédito
201,2023-01-26,17:41,Casa y aseo,94.9,5,0.0,Transferencia
206,2023-01-26,18:32,Papelería y oficina,48.9,3,10.27,Tarjeta de Crédito
204,2023-01-26,19:48,Casa y aseo,10.9,4,2.62,Transferencia
203,2023-01-26,14:11,Papelería y oficina,11.9,1,0.95,Transferencia
208,2023-01-26,21:44,Papelería y oficina,30.9,5,7.72,Tarjeta de Débito
212,2023-01-27,23:09,Electrónicos,5506.9,4,1101.38,Tarjeta de Crédito
211,2023-01-27,18:56,Belleza e higiene,89.9,1,0.9,Tarjeta de Crédito
220,2023-01-27,21:25,Casa y aseo,193.9,4,46.54,Transferencia
215,2023-01-27,22:14,Belleza e higiene,194.9,4,38.98,Transferencia
213,2023-01-27,00:53,Belleza e higiene,200.9,2,20.09,Tarjeta de Crédito
210,2023-01-27,18:51,Electrodomésticos,3650.9,4,0.0,Tarjeta de Crédito
217,2023-01-27,14:15,Papelería y oficina,12.9,4,1.03,Tarjeta de Crédito
216,2023-01-27,16:27,Alimentos y bebidas,55.9,4,20.12,Tarjeta de Crédito
209,2023-01-27,23:57,Casa y aseo,123.9,4,9.91,Tarjeta de Crédito
219,2023-01-27,21:21,Herramientas y construcción,272.9,4,0.0,Tarjeta de Crédito
218,2023-01-27,23:48,Alimentos y bebidas,91.9,4,0.0,Tarjeta de Crédito
214,2023-01-27,21:56,Casa y aseo,40.9,4,0.0,Transferencia
224,2023-01-28,20:14,Casa y aseo,72.9,4,8.75,Transferencia
228,2023-01-28,14:46,Papelería y oficina,45.9,3,5.51,Tarjeta de Débito
225,2023-01-28,17:20,Herramientas y construcción,86.9,2,0.0,Transferencia
227,2023-01-28,00:53,Belleza e higiene,129.9,4,0.0,Transferencia
229,2023-01-28,14:55,Alimentos y bebidas,89.9,3,26.97,Transferencia
222,2023-01-28,18:26,Alimentos y bebidas,61.9,2,9.9,Transferencia
223,2023-01-28,23:43,Casa y aseo,8.9,5,2.67,Transferencia
226,2023-01-28,22:34,Electrodomésticos,3791.9,1,37.92,Tarjeta de Débito
221,2023-01-28,23:16,Belleza e higiene,147.0,3,0.0,Tarjeta de Crédito
240,2023-01-29,21:47,Herramientas y construcción,289.9,5,101.46,Tarjeta de Débito
234,2023-01-29,20:29,Electrónicos,7094.9,4,0.0,Transferencia
232,2023-01-29,22:53,Herramientas y construcción,59.9,1,4.19,Tarjeta de Crédito
241,2023-01-29,00:24,Electrodomésticos,584.9,2,46.79,Tarjeta de Crédito
233,2023-01-29,15:53,Herramientas y construcción,234.9,4,0.0,Transferencia
238,2023-01-29,21:44,Casa y aseo,175.9,3,0.0,Transferencia
236,2023-01-29,22:00,Electrodomésticos,215.9,5,0.0,Transferencia
230,2023-01-29,00:40,Papelería y oficina,17.9,4,7.16,Tarjeta de Débito
231,2023-01-29,18:17,Alimentos y bebidas,28.9,4,4.62,Tarjeta de Crédito
237,2023-01-29,18:51,Libros,84.9,5,29.72,Tarjeta de Crédito
235,2023-01-29,00:43,Belleza e higiene,214.9,5,0.0,Tarjeta de Débito
239,2023-01-29,23:01,Casa y aseo,98.9,1,0.0,Transferencia
245,2023-01-31,23:06,Papelería y oficina,7.9,4,0.0,Transferencia
246,2023-01-31,21:47,Belleza e higiene,81.9,2,11.47,Transferencia
244,2023-01-31,18:52,Papelería y oficina,24.9,5,6.22,Transferencia
249,2023-01-31,19:26,Papelería y oficina,8.9,1,0.36,Transferencia
250,2023-01-31,18:51,Alimentos y bebidas,12.9,3,0.0,Tarjeta de Crédito
252,2023-01-31,23:51,Herramientas y construcción,203.0,1,0.0,Transferencia
251,2023-01-31,22:33,Belleza e higiene,21.9,4,4.38,Paypal
247,2023-01-31,17:18,Alimentos y bebidas,27.9,1,0.28,Transferencia
248,2023-01-31,15:17,Belleza e higiene,126.9,5,19.04,Paypal
242,2023-01-31,23:01,Papelería y oficina,28.9,4,2.31,Transferencia
243,2023-01-31,17:51,Electrónicos,4409.9,5,440.99,Tarjeta de Crédito
258,2023-02-01,22:59,Alimentos y bebidas,72.9,3,0.0,Transferencia
254,2023-02-01,21:07,Belleza e higiene,108.9,4,34.85,Tarjeta de Crédito
257,2023-02-01,20:23,Herramientas y construcción,164.0,4,13.12,Tarjeta de Crédito
259,2023-02-01,21:38,Herramientas y construcción,66.9,2,9.37,Tarjeta de Crédito
255,2023-02-01,19:21,Papelería y oficina,22.0,4,3.52,Transferencia
253,2023-02-01,22:45,Electrónicos,5915.9,3,887.38,Transferencia
260,2023-02-01,17:40,Alimentos y bebidas,92.9,2,1.86,Transferencia
256,2023-02-01,00:59,Electrónicos,7901.9,1,711.17,Tarjeta de Débito
267,2023-02-02,22:40,Electrodomésticos,1145.9,3,0.0,Tarjeta de Crédito
263,2023-02-02,21:22,Belleza e higiene,72.9,2,0.0,Tarjeta de Crédito
261,2023-02-02,23:03,Belleza e higiene,245.9,1,0.0,Tarjeta de Crédito
264,2023-02-02,18:49,Casa y aseo,155.9,1,12.47,Transferencia
266,2023-02-02,22:23,Belleza e higiene,102.9,5,0.0,Tarjeta de Crédito
268,2023-02-02,20:12,Alimentos y bebidas,53.9,4,8.62,Transferencia
265,2023-02-02,20:17,Belleza e higiene,17.9,3,0.0,Tarjeta de Débito
262,2023-02-02,19:11,Casa y aseo,27.9,2,3.91,Tarjeta de Crédito
272,2023-02-03,22:08,Herramientas y construcción,319.9,5,0.0,Tarjeta de Crédito
270,2023-02-03,19:11,Alimentos y bebidas,95.0,4,15.2,Tarjeta de Crédito
275,2023-02-03,15:09,Electrodomésticos,1652.9,4,264.46,Tarjeta de Crédito
269,2023-02-03,17:55,Alimentos y bebidas,12.9,5,3.22,Tarjeta de Crédito
277,2023-02-03,17:44,Alimentos y bebidas,23.9,2,2.39,Transferencia
273,2023-02-03,18:41,Casa y aseo,155.9,4,12.47,Transferencia
274,2023-02-03,14:50,Electrodomésticos,2682.9,2,0.0,Transferencia
271,2023-02-03,22:12,Belleza e higiene,184.9,3,22.19,Tarjeta de Crédito
276,2023-02-03,22:03,Casa y aseo,112.9,1,0.0,Tarjeta de Crédito
284,2023-02-04,18:26,Electrodomésticos,3084.9,4,123.4,Tarjeta de Crédito
278,2023-02-04,20:37,Alimentos y bebidas,94.9,4,30.37,Tarjeta de Crédito
282,2023-02-04,23:09,Alimentos y bebidas,18.9,1,0.0,Tarjeta de Crédito
285,2023-02-04,19:59,Electrónicos,5288.9,5,0.0,Transferencia
280,2023-02-04,23:27,Alimentos y bebidas,86.9,3,15.64,Paypal
283,2023-02-04,16:12,Libros,85.9,4,17.18,Tarjeta de Crédito
281,2023-02-04,17:01,Belleza e higiene,189.9,3,0.0,Paypal
279,2023-02-04,19:40,Herramientas y construcción,296.0,5,74.0,Tarjeta de Crédito
288,2023-02-05,21:11,Alimentos y bebidas,7.9,5,3.56,Tarjeta de Crédito
291,2023-02-05,23:25,Belleza e higiene,131.9,5,0.0,Tarjeta de Débito
287,2023-02-05,21:25,Alimentos y bebidas,82.9,1,4.15,Tarjeta de Crédito
286,2023-02-05,22:44,Casa y aseo,172.9,5,77.8,Tarjeta de Crédito
293,2023-02-05,15:50,Alimentos y bebidas,30.9,3,7.42,Tarjeta de Débito
294,2023-02-05,17:17,Alimentos y bebidas,14.9,4,1.19,Tarjeta de Crédito
292,2023-02-05,22:10,Casa y aseo,78.9,2,11.05,Tarjeta de Crédito
290,2023-02-05,21:57,Alimentos y bebidas,93.0,3,22.32,Transferencia
289,2023-02-05,22:52,Electrónicos,4420.9,5,221.04,Transferencia
303,2023-02-07,18:52,Alimentos y bebidas,38.9,3,2.33,Tarjeta de Crédito
301,2023-02-07,17:14,Electrónicos,4408.9,4,881.78,Paypal
295,2023-02-07,00:43,Casa y aseo,102.9,2,10.29,Tarjeta de Crédito
297,2023-02-07,00:52,Electrónicos,4232.9,3,634.93,Tarjeta de Crédito
298,2023-02-07,22:56,Herramientas y construcción,286.9,1,20.08,Tarjeta de Crédito
302,2023-02-07,00:27,Papelería y oficina,14.9,2,0.0,Tarjeta de Crédito
296,2023-02-07,16:04,Herramientas y construcción,196.9,4,15.75,Transferencia
300,2023-02-07,21:43,Casa y aseo,154.9,4,43.37,Tarjeta de Crédito
299,2023-02-07,23:07,Electrónicos,4075.9,5,1426.56,Tarjeta de Crédito
313,2023-02-08,00:48,Casa y aseo,136.0,1,4.08,Transferencia
311,2023-02-08,18:26,Herramientas y construcción,231.0,5,103.95,Paypal
308,2023-02-08,21:40,Electrodomésticos,2172.9,1,108.65,Transferencia
310,2023-02-08,18:31,Libros,61.9,5,21.67,Tarjeta de Crédito
312,2023-02-08,23:36,Alimentos y bebidas,6.9,5,1.38,Transferencia
307,2023-02-08,20:17,Herramientas y construcción,177.9,3,5.34,Transferencia
305,2023-02-08,14:18,Casa y aseo,122.9,5,6.14,Tarjeta de Débito
309,2023-02-08,20:06,Electrodomésticos,569.9,2,45.59,Tarjeta de Débito
304,2023-02-08,00:54,Belleza e higiene,120.9,5,18.13,Paypal
306,2023-02-08,17:27,Belleza e higiene,78.9,2,4.73,Tarjeta de Débito
324,2023-02-09,16:27,Casa y aseo,145.0,1,2.9,Tarjeta de Crédito
318,2023-02-09,22:28,Belleza e higiene,86.9,5,30.42,Transferencia
317,2023-02-09,00:39,Electrodomésticos,3828.9,2,0.0,Transferencia
322,2023-02-09,00:15,Casa y aseo,110.9,5,33.27,Paypal
314,2023-02-09,19:20,Belleza e higiene,52.9,4,21.16,Paypal
315,2023-02-09,18:40,Alimentos y bebidas,95.9,3,17.26,Tarjeta de Crédito
323,2023-02-09,17:14,Casa y aseo,146.9,2,11.75,Transferencia
316,2023-02-09,22:11,Libros,113.9,2,0.0,Tarjeta de Crédito
321,2023-02-09,15:30,Papelería y oficina,11.9,3,3.57,Transferencia
319,2023-02-09,22:32,Electrodomésticos,349.9,4,69.98,Tarjeta de Crédito
320,2023-02-09,17:15,Casa y aseo,80.9,1,4.85,Transferencia
332,2023-02-10,16:14,Alimentos y bebidas,95.9,3,17.26,Tarjeta de Débito
326,2023-02-10,23:13,Alimentos y bebidas,93.0,5,32.55,Tarjeta de Crédito
325,2023-02-10,23:08,Alimentos y bebidas,16.9,3,3.04,Tarjeta de Crédito
328,2023-02-10,21:05,Belleza e higiene,40.9,2,4.09,Transferencia
329,2023-02-10,23:54,Casa y aseo,69.9,3,12.58,Transferencia
333,2023-02-10,21:13,Belleza e higiene,111.0,4,31.08,Tarjeta de Crédito
331,2023-02-10,17:47,Herramientas y construcción,263.9,2,15.83,Tarjeta de Crédito
327,2023-02-10,22:54,Papelería y oficina,33.9,4,6.78,Tarjeta de Crédito
330,2023-02-10,15:00,Libros,76.9,2,0.0,Transferencia
338,2023-02-11,18:55,Papelería y oficina,19.9,5,6.97,Tarjeta de Crédito
340,2023-02-11,18:56,Alimentos y bebidas,72.0,2,0.0,Tarjeta de Débito
336,2023-02-11,16:39,Herramientas y construcción,43.0,2,0.0,Tarjeta de Crédito
339,2023-02-11,14:29,Casa y aseo,181.9,4,14.55,Paypal
343,2023-02-11,18:30,Casa y aseo,14.9,3,4.02,Tarjeta de Crédito
