ID_compra,ID_cliente,ciudad,estado,region,edad,sexo_biologico,cashback,nota
5454,7048,Ciudad de México,Ciudad de México,Centro,48,Femenino,No,9
909,8880,Oaxaca de Juárez,Oaxaca,Sur,18,Femenino,Sí,8
1565,7483,Toluca,Estado de México,Centro,40,Masculino,Sí,9
5829,7968,Ciudad de México,Ciudad de México,Centro,19,Masculino,Sí,9
5677,1941,Ciudad de México,Ciudad de México,Centro,48,Femenino,No,9
4018,3567,Chihuahua,Chihuahua,Noroeste,40,Femenino,Sí,7
3845,8827,Cholula,Puebla,Centro-Sur,37,Femenino,No,9
2309,4842,Ciudad de México,Ciudad de México,Centro,41,Masculino,No,10
4553,1308,Ciudad de México,Ciudad de México,Centro,38,Femenino,Sí,9
157,4158,Durango,Durango,Noroeste,27,Femenino,No,9
4058,5880,Hermosillo,Sonora,Noroeste,46,Masculino,No,9
961,3328,Durango,Durango,Noroeste,42,Femenino,No,9
4775,9161,Ciudad de México,Ciudad de México,Centro,42,Femenino,No,9
5229,3509,Ciudad de México,Ciudad de México,Centro,31,Masculino,Sí,10
46,7791,Ciudad de México,Ciudad de México,Centro,51,Femenino,No,10
4261,7775,Ciudad de México,Ciudad de México,Centro,31,Femenino,Sí,8
1560,4376,Durango,Durango,Noroeste,56,Masculino,No,10
5028,8914,Oaxaca de Juárez,Oaxaca,Sur,26,Femenino,Sí,10
1862,1860,Ciudad de México,Ciudad de México,Centro,42,Femenino,No,7
4156,5704,Hermosillo,Sonora,Noroeste,24,Femenino,Sí,9
1498,6294,Ciudad de México,Ciudad de México,Centro,41,Femenino,No,10
2878,9422,Saltillo,Coahuila,Noreste,44,Femenino,No,9
1691,9518,Veracruz,Veracruz,Golfo,40,Femenino,Sí,7
3106,4023,Guadalajara,Jalisco,Occidente,27,Femenino,No,10
536,5454,León,Guanajuato,Centro-Norte,22,Masculino,No,8
3874,5334,Ciudad de México,Ciudad de México,Centro,54,Masculino,No,8
639,4636,Ciudad de México,Ciudad de México,Centro,36,Femenino,Sí,9
3217,1028,Ciudad de México,Ciudad de México,Centro,42,Femenino,No,9
990,5267,Ciudad de México,Ciudad de México,Centro,49,Masculino,No,8
1182,1804,Ciudad de México,Ciudad de México,Centro,46,Masculino,No,9
608,3029,Chihuahua,Chihuahua,Noroeste,30,Femenino,Sí,10
4709,2258,Veracruz,Veracruz,Golfo,61,Masculino,No,9
1961,1876,Ciudad de México,Ciudad de México,Centro,44,Femenino,No,10
4958,5354,Monterrey ,Nuevo León,Noreste,28,Femenino,Sí,7
5576,7310,Ciudad de México,Ciudad de México,Centro,36,Masculino,Sí,8
5711,9562,Saltillo,Coahuila,Noreste,40,Femenino,Sí,10
4687,6919,Ciudad de México,Ciudad de México,Centro,31,Femenino,Sí,9
4839,9794,Ciudad de México,Ciudad de México,Centro,41,Femenino,No,9
3416,5015,Monterrey ,Nuevo León,Noreste,33,Femenino,No,9
4352,5812,León,Guanajuato,Centro-Norte,43,Masculino,No,10
164,7516,Ciudad de México,Ciudad de México,Centro,55,Masculino,No,9
4339,2364,Ciudad de México,Ciudad de México,Centro,31,Masculino,Sí,9
2604,2673,Chihuahua,Chihuahua,Noroeste,34,Masculino,Sí,9
4834,6114,Ciudad de México,Ciudad de México,Centro,42,Femenino,No,9
119,7813,Huixquilucan,Estado de México,Centro,50,Masculino,No,7
4433,7870,Cholula,Puebla,Centro-Sur,35,Masculino,Sí,7
1309,5563,Ciudad de México,Ciudad de México,Centro,61,Masculino,No,10
350,9907,Veracruz,Veracruz,Golfo,28,Masculino,Sí,10
2593,3127,Ciudad de México,Ciudad de México,Centro,18,Masculino,Sí,10
4,9679,Veracruz,Veracruz,Golfo,35,Masculino,Sí,9
138,1809,Ciudad de México,Ciudad de México,Centro,39,Masculino,Sí,10
3947,8598,Ciudad de México,Ciudad de México,Centro,36,Masculino,Sí,9
5114,1657,Ciudad de México,Ciudad de México,Centro,27,Femenino,No,7
2254,6848,León,Guanajuato,Centro-Norte,47,Femenino,No,9
3517,3251,Chihuahua,Chihuahua,Noroeste,33,Femenino,Sí,7
427,4209,Ciudad de México,Ciudad de México,Centro,41,Femenino,No,10
3500,7832,Ciudad de México,Ciudad de México,Centro,40,Femenino,No,8
1103,8517,Oaxaca de Juárez,Oaxaca,Sur,55,Femenino,No,9
2841,1377,Ciudad de México,Ciudad de México,Centro,35,Femenino,Sí,9
865,4247,Durango,Durango,Noroeste,28,Masculino,No,10
1837,8349,Ciudad de México,Ciudad de México,Centro,35,Masculino,Sí,9
3371,3931,Guadalajara,Jalisco,Occidente,55,Femenino,No,10
390,3821,Guadalajara,Jalisco,Occidente,47,Femenino,No,10
3956,3828,Ciudad de México,Ciudad de México,Centro,41,Femenino,No,8
1487,9791,Saltillo,Coahuila,Noreste,44,Masculino,No,8
4772,9501,Ciudad de México,Ciudad de México,Centro,37,Masculino,No,8
1029,5217,Monterrey ,Nuevo León,Noreste,51,Femenino,No,10
4634,1916,Ciudad de México,Ciudad de México,Centro,38,Femenino,Sí,8
5347,2473,Ciudad de México,Ciudad de México,Centro,41,Masculino,No,8
5234,2153,Ciudad de México,Ciudad de México,Centro,38,Femenino,Sí,10
5314,3596,Guadalajara,Jalisco,Occidente,55,Masculino,No,10
5417,3325,Chihuahua,Chihuahua,Noroeste,45,Masculino,No,9
945,6222,Ciudad de México,Ciudad de México,Centro,46,Masculino,No,8
5674,9513,Veracruz,Veracruz,Golfo,40,Masculino,Sí,8
4930,6774,Ciudad de México,Ciudad de México,Centro,64,Femenino,No,9
621,9457,Ciudad de México,Ciudad de México,Centro,21,Femenino,No,9
4188,2206,Ciudad de México,Ciudad de México,Centro,35,Femenino,No,9
5211,3307,Ciudad de México,Ciudad de México,Centro,41,Masculino,No,7
1426,3224,Chihuahua,Chihuahua,Noroeste,35,Femenino,No,7
5054,7949,Toluca,Estado de México,Centro,64,Femenino,No,9
5782,3578,Ciudad de México,Ciudad de México,Centro,58,Masculino,No,9
4815,9841,Veracruz,Veracruz,Golfo,39,Femenino,Sí,9
127,5247,Monterrey ,Nuevo León,Noreste,47,Masculino,No,10
2575,5455,Monterrey ,Nuevo León,Noreste,43,Masculino,No,9
5592,9351,Veracruz,Veracruz,Golfo,28,Masculino,Sí,10
5125,4475,Monterrey ,Nuevo León,Noreste,49,Femenino,No,9
5090,5872,Monterrey ,Nuevo León,Noreste,30,Masculino,Sí,10
6104,1101,Monterrey ,Nuevo León,Noreste,38,Femenino,No,9
2168,8591,Oaxaca de Juárez,Oaxaca,Sur,27,Femenino,Sí,9
1604,9214,Monterrey ,Nuevo León,Noreste,43,Femenino,No,8
5252,1414,Ciudad de México,Ciudad de México,Centro,50,Femenino,No,9
2623,6634,León,Guanajuato,Centro-Norte,28,Masculino,No,10
4039,1644,Monterrey ,Nuevo León,Noreste,42,Masculino,No,8
3982,4789,Monterrey ,Nuevo León,Noreste,37,Femenino,Sí,10
3928,1737,Ciudad de México,Ciudad de México,Centro,36,Femenino,Sí,9
1689,6139,Hermosillo,Sonora,Noroeste,41,Masculino,No,8
1319,9158,Monterrey ,Nuevo León,Noreste,41,Masculino,No,10
3402,9121,Saltillo,Coahuila,Noreste,31,Masculino,Sí,8
435,8253,Oaxaca de Juárez,Oaxaca,Sur,38,Masculino,Sí,7
1148,3968,Durango,Durango,Noroeste,31,Femenino,No,8
4260,4963,Monterrey ,Nuevo León,Noreste,28,Femenino,No,7
2230,2058,Veracruz,Veracruz,Golfo,29,Masculino,Sí,9
2665,2034,Monterrey ,Nuevo León,Noreste,39,Femenino,Sí,10
3210,5609,Hermosillo,Sonora,Noroeste,31,Femenino,No,7
5744,7040,Monterrey ,Nuevo León,Noreste,37,Masculino,Sí,6
2862,6667,Monterrey ,Nuevo León,Noreste,34,Masculino,Sí,10
5320,8465,Cholula,Puebla,Centro-Sur,41,Masculino,No,0
4845,5396,Monterrey ,Nuevo León,Noreste,24,Femenino,Sí,5
5415,3742,Monterrey ,Nuevo León,Noreste,51,Femenino,No,8
902,6161,Hermosillo,Sonora,Noroeste,39,Femenino,Sí,10
5983,4865,Durango,Durango,Noroeste,32,Femenino,No,9
3745,4678,Durango,Durango,Noroeste,27,Masculino,Sí,6
899,6927,Monterrey ,Nuevo León,Noreste,39,Femenino,Sí,9
6020,2729,Monterrey ,Nuevo León,Noreste,30,Masculino,Sí,7
3792,4697,Monterrey ,Nuevo León,Noreste,36,Femenino,No,9
4652,5229,León,Guanajuato,Centro-Norte,27,Masculino,No,3
4045,9363,Lagos de Moreno,Jalisco,Occidente,43,Femenino,No,8
3663,9121,Saltillo,Coahuila,Noreste,31,Masculino,Sí,9
5897,3088,Chihuahua,Chihuahua,Noroeste,50,Masculino,No,10
710,2546,Chihuahua,Chihuahua,Noroeste,34,Femenino,Sí,10
5452,7127,Cholula,Puebla,Centro-Sur,38,Femenino,No,8
93,3952,Guadalajara,Jalisco,Occidente,31,Masculino,Sí,10
3919,3487,Monterrey ,Nuevo León,Noreste,32,Masculino,Sí,9
2418,2432,Chihuahua,Chihuahua,Noroeste,53,Masculino,No,10
2684,1960,Ciudad de México,Ciudad de México,Centro,35,Femenino,No,9
3920,1800,Ciudad de México,Ciudad de México,Centro,42,Femenino,No,4
4909,3598,Durango,Durango,Noroeste,28,Masculino,Sí,10
5227,5139,Monterrey ,Nuevo León,Noreste,37,Masculino,No,10
2542,5893,Monterrey ,Nuevo León,Noreste,43,Femenino,No,10
4006,4096,Guadalajara,Jalisco,Occidente,31,Masculino,Sí,9
357,7201,Monterrey ,Nuevo León,Noreste,41,Femenino,No,10
5180,2427,Chihuahua,Chihuahua,Noroeste,31,Femenino,Sí,10
542,5445,Monterrey ,Nuevo León,Noreste,43,Masculino,No,10
496,5375,Monterrey ,Nuevo León,Noreste,30,Femenino,No,10
5750,6218,Hermosillo,Sonora,Noroeste,26,Masculino,Sí,7
2434,8270,Oaxaca de Juárez,Oaxaca,Sur,42,Masculino,No,9
2699,5906,León,Guanajuato,Centro-Norte,34,Femenino,Sí,6
805,9153,Saltillo,Coahuila,Noreste,34,Masculino,No,8
362,6885,Monterrey ,Nuevo León,Noreste,42,Femenino,No,7
2746,3765,Guadalajara,Jalisco,Occidente,44,Masculino,No,9
5814,5658,Hermosillo,Sonora,Noroeste,27,Femenino,No,9
678,4343,Monterrey ,Nuevo León,Noreste,39,Femenino,No,9
2961,1237,Monterrey ,Nuevo León,Noreste,47,Femenino,No,9
3386,6600,Monterrey ,Nuevo León,Noreste,26,Femenino,Sí,10
5410,8741,Oaxaca de Juárez,Oaxaca,Sur,36,Masculino,Sí,10
3097,8377,Monterrey ,Nuevo León,Noreste,29,Femenino,Sí,10
6105,2773,Ciudad de México,Ciudad de México,Centro,46,Femenino,No,7
3516,3148,Durango,Durango,Noroeste,34,Masculino,Sí,9
2719,4728,Monterrey ,Nuevo León,Noreste,35,Femenino,Sí,10
3409,9301,Monterrey ,Nuevo León,Noreste,38,Femenino,Sí,9
951,8665,Monterrey ,Nuevo León,Noreste,39,Masculino,No,10
1531,4322,Monterrey ,Nuevo León,Noreste,48,Femenino,No,10
5877,4723,Monterrey ,Nuevo León,Noreste,30,Masculino,No,10
1044,1975,Ciudad de México,Ciudad de México,Centro,42,Femenino,No,5
189,2292,Monterrey ,Nuevo León,Noreste,62,Femenino,No,9
3963,3431,Monterrey ,Nuevo León,Noreste,43,Femenino,No,9
1915,2169,Veracruz,Veracruz,Golfo,47,Masculino,No,4
1798,6221,Hermosillo,Sonora,Noroeste,39,Femenino,Sí,9
539,3793,Durango,Durango,Noroeste,32,Masculino,Sí,7
2869,9011,Monterrey ,Nuevo León,Noreste,58,Masculino,No,8
547,6377,Hermosillo,Sonora,Noroeste,43,Masculino,No,9
2779,9683,Monterrey ,Nuevo León,Noreste,40,Femenino,Sí,9
5597,3111,Monterrey ,Nuevo León,Noreste,50,Masculino,No,9
450,1494,Monterrey ,Nuevo León,Noreste,51,Femenino,No,9
243,9279,Monterrey ,Nuevo León,Noreste,43,Femenino,No,9
4476,5906,León,Guanajuato,Centro-Norte,34,Femenino,Sí,8
1340,4709,Durango,Durango,Noroeste,55,Femenino,No,8
4623,8902,Monterrey ,Nuevo León,Noreste,18,Masculino,Sí,9
2489,8927,Monterrey ,Nuevo León,Noreste,54,Femenino,No,9
3946,5096,Monterrey ,Nuevo León,Noreste,57,Femenino,No,10
1726,6737,Monterrey ,Nuevo León,Noreste,31,Masculino,Sí,10
1461,3599,Durango,Durango,Noroeste,27,Femenino,No,9
208,1063,Monterrey ,Nuevo León,Noreste,27,Masculino,Sí,7
5218,5628,Hermosillo,Sonora,Noroeste,37,Femenino,No,9
5157,8644,Monterrey ,Nuevo León,Noreste,37,Femenino,Sí,10
3040,9803,Monterrey ,Nuevo León,Noreste,18,Femenino,No,8
3964,3774,Monterrey ,Nuevo León,Noreste,39,Femenino,No,9
5141,1293,Monterrey ,Nuevo León,Noreste,18,Femenino,Sí,9
2424,4994,Monterrey ,Nuevo León,Noreste,35,Femenino,No,7
3902,3237,Monterrey ,Nuevo León,Noreste,26,Femenino,Sí,6
2833,1623,Ciudad de México,Ciudad de México,Centro,51,Masculino,No,9
988,9990,Monterrey ,Nuevo León,Noreste,24,Femenino,Sí,9
888,8209,Toluca,Estado de México,Centro,29,Femenino,Sí,9
2807,9945,Monterrey ,Nuevo León,Noreste,45,Femenino,No,9
3563,8190,Cholula,Puebla,Centro-Sur,41,Femenino,No,9
401,7740,Monterrey ,Nuevo León,Noreste,44,Masculino,No,1
213,7014,Monterrey ,Nuevo León,Noreste,38,Masculino,Sí,1
1640,7427,Monterrey ,Nuevo León,Noreste,38,Masculino,Sí,9
1475,6528,Monterrey ,Nuevo León,Noreste,46,Masculino,No,10
4423,8500,Monterrey ,Nuevo León,Noreste,46,Masculino,No,9
4124,8230,Monterrey ,Nuevo León,Noreste,35,Femenino,No,9
1401,3089,Monterrey ,Nuevo León,Noreste,27,Masculino,No,6
758,3503,Durango,Durango,Noroeste,46,Masculino,No,7
4302,1258,Ciudad de México,Ciudad de México,Centro,34,Femenino,Sí,4
4699,9974,Durango,Durango,Noroeste,46,Masculino,No,9
4481,4390,Durango,Durango,Noroeste,48,Femenino,No,6
5419,7150,Durango,Durango,Noroeste,36,Femenino,Sí,8
1378,6821,Durango,Durango,Noroeste,42,Femenino,No,9
3860,8477,Durango,Durango,Noroeste,34,Femenino,No,9
3349,1172,Cancún,Quintana Roo,Sureste,35,Masculino,No,9
3862,5933,Durango,Durango,Noroeste,37,Femenino,Sí,9
3858,7998,Durango,Durango,Noroeste,60,Femenino,No,8
4005,5191,Monterrey ,Nuevo León,Noreste,35,Femenino,Sí,9
4043,6120,Durango,Durango,Noroeste,35,Masculino,No,3
1280,2495,Durango,Durango,Noroeste,39,Masculino,Sí,10
5941,9295,Saltillo,Coahuila,Noreste,29,Masculino,Sí,0
5834,9524,Saltillo,Coahuila,Noreste,33,Femenino,No,9
4984,1533,Durango,Durango,Noroeste,53,Femenino,No,10
301,9104,Saltillo,Coahuila,Noreste,55,Masculino,No,9
3846,4094,Guadalajara,Jalisco,Occidente,24,Femenino,Sí,5
6055,1212,Durango,Durango,Noroeste,33,Femenino,Sí,10
992,5198,Chihuahua,Chihuahua,Noroeste,22,Femenino,No,10
1960,9540,Durango,Durango,Noroeste,49,Masculino,No,9
5548,5536,León,Guanajuato,Centro-Norte,38,Femenino,Sí,9
1177,3232,Durango,Durango,Noroeste,42,Femenino,No,10
3472,3564,Chihuahua,Chihuahua,Noroeste,18,Masculino,Sí,9
370,5580,Hermosillo,Sonora,Noroeste,52,Femenino,No,10
5939,3407,Durango,Durango,Noroeste,29,Femenino,No,9
2354,9582,Durango,Durango,Noroeste,24,Femenino,Sí,4
736,2150,Durango,Durango,Noroeste,37,Femenino,Sí,10
5978,6708,Durango,Durango,Noroeste,43,Femenino,No,8
4444,7036,Durango,Durango,Noroeste,26,Masculino,No,9
3343,1708,Ciudad de México,Ciudad de México,Centro,33,Masculino,Sí,8
477,8015,Durango,Durango,Noroeste,33,Masculino,Sí,8
90,1772,Ciudad de México,Ciudad de México,Centro,50,Femenino,No,9
618,5041,Durango,Durango,Noroeste,29,Masculino,Sí,9
753,1226,Durango,Durango,Noroeste,49,Femenino,No,10
965,9951,Veracruz,Veracruz,Golfo,52,Femenino,No,8
130,9074,Durango,Durango,Noroeste,38,Masculino,No,10
2580,7479,Toluca,Estado de México,Centro,35,Femenino,No,10
3599,2575,Durango,Durango,Noroeste,33,Femenino,Sí,10
1150,2258,Veracruz,Veracruz,Golfo,61,Masculino,No,4
4511,8895,Oaxaca de Juárez,Oaxaca,Sur,31,Femenino,No,10
3027,8855,Oaxaca de Juárez,Oaxaca,Sur,43,Femenino,No,4
3473,6985,Durango,Durango,Noroeste,41,Masculino,No,0
5050,9970,Durango,Durango,Noroeste,32,Masculino,Sí,9
300,9723,Saltillo,Coahuila,Noreste,44,Masculino,No,9
3086,5336,Monterrey ,Nuevo León,Noreste,33,Masculino,Sí,10
383,3107,Durango,Durango,Noroeste,39,Femenino,Sí,9
684,2649,Durango,Durango,Noroeste,40,Masculino,Sí,8
112,9768,Saltillo,Coahuila,Noreste,41,Femenino,No,10
1086,7970,Durango,Durango,Noroeste,54,Masculino,No,9
1718,3541,Chihuahua,Chihuahua,Noroeste,36,Femenino,Sí,9
4388,8711,Durango,Durango,Noroeste,42,Femenino,No,7
3480,9313,Durango,Durango,Noroeste,23,Femenino,Sí,9
610,1556,Ciudad de México,Ciudad de México,Centro,37,Femenino,Sí,6
5753,2413,Ciudad de México,Ciudad de México,Centro,23,Masculino,No,10
2928,1679,Durango,Durango,Noroeste,41,Masculino,No,8
4671,7256,Durango,Durango,Noroeste,60,Femenino,No,10
237,7659,Cholula,Puebla,Centro-Sur,39,Masculino,Sí,9
1449,3189,Durango,Durango,Noroeste,32,Masculino,Sí,9
2740,7728,Durango,Durango,Noroeste,31,Masculino,No,8
1354,2382,Durango,Durango,Noroeste,35,Femenino,No,10
163,4248,Durango,Durango,Noroeste,20,Masculino,Sí,9
5843,4707,Durango,Durango,Noroeste,18,Femenino,Sí,9
3002,5083,Monterrey ,Nuevo León,Noreste,45,Femenino,No,10
3302,7972,Durango,Durango,Noroeste,42,Masculino,No,9
4946,6403,Durango,Durango,Noroeste,46,Femenino,No,10
308,8903,Durango,Durango,Noroeste,35,Masculino,Sí,7
3640,9308,Durango,Durango,Noroeste,37,Femenino,Sí,9
1831,7540,Durango,Durango,Noroeste,38,Masculino,No,10
5517,8026,Durango,Durango,Noroeste,47,Femenino,No,9
4907,4940,Durango,Durango,Noroeste,36,Masculino,No,7
4527,8523,Durango,Durango,Noroeste,33,Femenino,Sí,8
5488,9186,Durango,Durango,Noroeste,54,Femenino,No,9
3878,6586,Durango,Durango,Noroeste,52,Femenino,No,9
4337,2297,Durango,Durango,Noroeste,30,Masculino,Sí,7
1900,2279,Ciudad de México,Ciudad de México,Centro,31,Femenino,No,9
3404,2058,Veracruz,Veracruz,Golfo,29,Masculino,Sí,3
5664,3682,Durango,Durango,Noroeste,33,Masculino,No,10
5805,1832,Durango,Durango,Noroeste,42,Femenino,No,10
2554,3818,Guadalajara,Jalisco,Occidente,44,Femenino,No,10
3548,9983,Durango,Durango,Noroeste,57,Femenino,No,10
5394,5511,Hermosillo,Sonora,Noroeste,42,Femenino,No,10
1221,3811,Chihuahua,Chihuahua,Noroeste,34,Masculino,Sí,9
929,3534,Durango,Durango,Noroeste,28,Femenino,Sí,5
5385,3012,Chihuahua,Chihuahua,Noroeste,45,Femenino,No,10
299,6722,Durango,Durango,Noroeste,41,Masculino,No,10
3142,5223,Durango,Durango,Noroeste,36,Femenino,Sí,9
2905,2277,Veracruz,Veracruz,Golfo,34,Femenino,Sí,10
413,3855,Durango,Durango,Noroeste,49,Femenino,No,9
2499,2389,Ciudad de México,Ciudad de México,Centro,49,Femenino,No,10
5122,8966,Cholula,Puebla,Centro-Sur,50,Femenino,No,8
191,1052,Ciudad de México,Ciudad de México,Centro,48,Femenino,No,10
4127,1563,Ciudad de México,Ciudad de México,Centro,32,Femenino,No,10
459,7852,Durango,Durango,Noroeste,34,Femenino,No,10
4357,7716,Durango,Durango,Noroeste,39,Masculino,Sí,9
3650,7245,Durango,Durango,Noroeste,38,Masculino,Sí,9
5463,9481,Durango,Durango,Noroeste,19,Masculino,No,9
2804,3269,Durango,Durango,Noroeste,26,Masculino,Sí,7
269,7292,Durango,Durango,Noroeste,48,Masculino,No,9
98,1885,Durango,Durango,Noroeste,52,Femenino,No,9
5013,4503,Durango,Durango,Noroeste,36,Masculino,No,8
5325,9619,Veracruz,Veracruz,Golfo,52,Femenino,No,9
4196,5633,León,Guanajuato,Centro-Norte,45,Masculino,No,9
2471,3083,Durango,Durango,Noroeste,46,Femenino,No,8
4472,5895,Hermosillo,Sonora,Noroeste,31,Femenino,Sí,10
3109,8669,Oaxaca de Juárez,Oaxaca,Sur,44,Masculino,No,10
2897,5130,Durango,Durango,Noroeste,43,Femenino,No,7
1842,6837,Durango,Durango,Noroeste,39,Masculino,No,9
2104,4864,Monterrey ,Nuevo León,Noreste,43,Femenino,No,9
3049,9366,Veracruz,Veracruz,Golfo,55,Femenino,No,8
1398,1873,Ciudad de México,Ciudad de México,Centro,31,Masculino,Sí,9
2748,5875,Hermosillo,Sonora,Noroeste,24,Femenino,No,7
177,4079,Durango,Durango,Noroeste,34,Masculino,Sí,9
6120,2771,Chihuahua,Chihuahua,Noroeste,45,Masculino,No,7
1589,8742,Oaxaca de Juárez,Oaxaca,Sur,24,Femenino,Sí,10
5065,8309,León,Guanajuato,Centro-Norte,40,Femenino,Sí,7
2375,6347,León,Guanajuato,Centro-Norte,42,Masculino,No,6
4957,8041,Cholula,Puebla,Centro-Sur,28,Masculino,Sí,1
5589,9047,León,Guanajuato,Centro-Norte,20,Masculino,Sí,9
2123,4539,Monterrey ,Nuevo León,Noreste,25,Femenino,Sí,9
3990,6052,Hermosillo,Sonora,Noroeste,33,Masculino,Sí,10
4274,6626,León,Guanajuato,Centro-Norte,53,Masculino,No,6
441,4119,León,Guanajuato,Centro-Norte,45,Femenino,No,8
4679,7738,León,Guanajuato,Centro-Norte,38,Femenino,Sí,9
1281,6381,León,Guanajuato,Centro-Norte,39,Femenino,Sí,9
5860,3299,Chihuahua,Chihuahua,Noroeste,27,Masculino,Sí,3
2827,5504,Hermosillo,Sonora,Noroeste,25,Masculino,Sí,7
1764,1233,Ciudad de México,Ciudad de México,Centro,46,Masculino,No,8
3095,1620,León,Guanajuato,Centro-Norte,27,Masculino,Sí,10
3083,5941,León,Guanajuato,Centro-Norte,42,Masculino,No,10
5647,5198,Chihuahua,Chihuahua,Noroeste,22,Femenino,No,7
4195,9547,León,Guanajuato,Centro-Norte,38,Femenino,Sí,0
2971,6944,León,Guanajuato,Centro-Norte,49,Femenino,No,7
544,6728,León,Guanajuato,Centro-Norte,63,Masculino,No,9
3827,2041,Veracruz,Veracruz,Golfo,39,Femenino,Sí,10
937,7582,León,Guanajuato,Centro-Norte,33,Femenino,Sí,4
3772,4353,León,Guanajuato,Centro-Norte,29,Masculino,Sí,10
5930,2908,Chihuahua,Chihuahua,Noroeste,39,Masculino,Sí,9
1055,7283,Cholula,Puebla,Centro-Sur,39,Masculino,Sí,10
3360,8565,León,Guanajuato,Centro-Norte,28,Femenino,Sí,9
1907,9399,Saltillo,Coahuila,Noreste,26,Masculino,Sí,5
2030,5841,Hermosillo,Sonora,Noroeste,27,Femenino,No,10
1454,5126,León,Guanajuato,Centro-Norte,39,Femenino,Sí,10
3309,3161,León,Guanajuato,Centro-Norte,49,Masculino,No,9
5264,9244,León,Guanajuato,Centro-Norte,39,Femenino,Sí,10
1603,7016,Huixquilucan,Estado de México,Centro,21,Femenino,No,9
4200,3826,Guadalajara,Jalisco,Occidente,30,Femenino,Sí,10
4918,3001,León,Guanajuato,Centro-Norte,33,Femenino,Sí,9
1151,6385,León,Guanajuato,Centro-Norte,51,Masculino,No,6
1178,2485,Ciudad de México,Ciudad de México,Centro,40,Femenino,No,9
108,6447,León,Guanajuato,Centro-Norte,35,Femenino,Sí,9
3260,8193,León,Guanajuato,Centro-Norte,45,Femenino,No,7
2754,7088,León,Guanajuato,Centro-Norte,45,Femenino,No,9
663,1330,León,Guanajuato,Centro-Norte,50,Femenino,No,7
5718,7005,León,Guanajuato,Centro-Norte,38,Femenino,No,8
5735,6330,León,Guanajuato,Centro-Norte,49,Masculino,No,6
69,4849,Durango,Durango,Noroeste,41,Femenino,No,9
3699,3579,León,Guanajuato,Centro-Norte,38,Masculino,Sí,9
4059,4580,León,Guanajuato,Centro-Norte,37,Masculino,Sí,8
1671,6615,León,Guanajuato,Centro-Norte,33,Femenino,Sí,10
3063,1500,León,Guanajuato,Centro-Norte,24,Femenino,No,10
3,1960,Ciudad de México,Ciudad de México,Centro,35,Femenino,No,10
6098,4342,León,Guanajuato,Centro-Norte,39,Femenino,Sí,7
1643,3011,Chihuahua,Chihuahua,Noroeste,35,Femenino,Sí,9
5278,3512,León,Guanajuato,Centro-Norte,18,Femenino,No,10
5404,1096,Ciudad de México,Ciudad de México,Centro,29,Femenino,Sí,7
5719,5145,Minatitlán,Veracruz,Golfo,35,Femenino,Sí,10
2235,3846,Guadalajara,Jalisco,Occidente,45,Femenino,No,10
5060,5803,Hermosillo,Sonora,Noroeste,48,Masculino,No,7
5960,3416,León,Guanajuato,Centro-Norte,36,Masculino,Sí,7
